,act_percent_took_exam,asian_percent,black_percent,class_grad_year,college_career_readiness_index,college_nys_private,college_nys_public,college_out_of_state,college_readiness_index,cuny_2yr,cuny_4yr,dbn,disability_percent,district_admin_code,district_geo_code,dropouts_percent,ell_percent,enrollment,grade8_english,grade8_math,graduation_rate,hispanic_percent,male_percent,post-secondary_enroll_rate,poverty_percent,public_service,regents_algebra,regents_english,sat_math,sat_percent_took_exam,sat_reading,sat_score_overall,sat_writing,school_desc,school_environment_survey,self-contained_percent,student_attendance_rate,teacher_attendance,vocational_prog,white_percent,zip_code,school_day_length
0,0.0,0.132,0.244,2015,0.333,0.0,0.049,0.016,0.389,0.163,0.066,01M292,0.298,1.0,1.0,0.095890411,0.127,255.0,2.18,2.06,0.639,0.566,0.623529434204,0.262,0.866666674614,0.0,64.0,66.0,410.0,0.597,406.0,1197.0,381.0,General Academic,0.77,0.015,0.766,0.971,0.0,0.039,10002.0,420.0
1,0.133,0.299,0.25,2015,0.675,0.042,0.0,0.014,0.229,0.157,0.169,01M448,0.22,1.0,1.0,0.097560976,0.194,304.0,2.27,2.37,0.843,0.411,0.621710538864,0.507,0.891447365284,0.0,64.0,69.0,437.0,0.699,355.0,1144.0,352.0,General Academic,0.87,0.003,0.88,0.971,0.0,0.033,10002.0,420.0
2,0.216,0.094,0.221,2015,0.386,0.189,0.156,0.1,0.58,0.064,0.144,01M450,0.234,1.0,1.0,0.0340909,0.018,666.0,2.66,2.63,0.864,0.579,0.530030012131,0.722,0.735735714436,0.0,,75.0,454.0,0.852,428.0,1327.0,445.0,General Academic,0.92,0.0,0.938,0.961,0.0,0.083,10009.0,420.0
3,0.04,0.058,0.399,2015,0.208,0.017,0.067,0.017,0.119,0.151,0.083,01M509,0.284,1.0,1.0,0.176470588,0.091,363.0,2.28,2.09,0.475,0.512,0.432506889105,0.3,0.845730006695,0.0,61.0,69.0,438.0,0.356,413.0,1245.0,394.0,General Academic,0.81,0.146,0.768,0.971,0.0,0.025,10002.0,450.0
4,0.262,0.385,0.133,2015,0.992,0.248,0.159,0.195,0.967,0.015,0.168,01M539,0.043,1.0,1.0,0.0081967,0.002,1735.0,3.5,3.53,0.975,0.18,0.484726220369,0.823,0.273198843002,0.0,80.0,91.0,657.0,0.91,601.0,1859.0,601.0,General Academic,0.85,0.0,0.952,0.967,0.0,0.286,10002.0,465.0
5,0.357,0.171,0.172,2015,1.0,0.189,0.14,0.497,0.974,0.008,0.119,01M696,0.011,1.0,1.0,0.012987,0.0,545.0,3.71,3.65,0.974,0.187,0.401834875345,0.958,0.339449554682,0.0,73.0,92.0,634.0,0.708,641.0,1914.0,639.0,General Academic,0.91,0.0,0.958,0.976,0.0,0.453,10002.0,410.0
6,0.0,0.012,0.284,2015,0.655,0.024,0.048,0.143,0.207,0.178,0.119,02M047,0.254,2.0,2.0,0.0344828,0.047,169.0,2.4,2.24,0.552,0.645,0.355029582977,0.405,0.834319531918,0.0,60.0,67.0,,0.483,,,,Special Education,0.85,0.083,0.881,0.983,0.0,0.053,10010.0,420.0
7,,0.057,0.285,2015,,,,,,,,02M135,0.197,,,,0.073,193.0,2.34,2.22,,0.622,0.430051803589,,1.0,,62.0,85.0,,,,,,,,0.01,0.883,0.972,,0.026,10019.0,410.0
8,,0.036,0.249,2015,,,,,,,,02M139,0.295,,,,0.078,193.0,2.3,2.27,,0.611,0.740932643414,,0.84455960989,,60.0,,,,,,,,,0.016,0.881,0.988,,0.088,10038.0,380.0
9,,0.072,0.32,2015,,,,,,,,02M280,0.227,,,,0.01,97.0,2.6,2.43,,0.433,0.515463888645,,0.67010307312,,66.0,,,,,,,,,0.0,0.937,0.991,,0.155,10038.0,435.0
10,,0.107,0.243,2015,,,,,,,,02M282,0.058,,,,0.039,103.0,2.72,2.62,,0.456,0.572815537453,,0.805825233459,,70.0,,,,,,,,,0.01,0.908,0.951,,0.097,10038.0,405.0
11,0.0,0.047,0.396,2015,0.429,0.088,0.167,0.039,0.143,0.195,0.108,02M288,0.157,2.0,2.0,0.070707071,0.03,427.0,2.47,2.36,0.806,0.522,0.480093687773,0.588,0.784543335438,0.0,63.0,72.0,428.0,0.52,435.0,1284.0,421.0,Career Technical,0.81,0.0,0.885,0.959,0.0,0.03,10019.0,410.0
12,0.022,0.059,0.385,2015,0.667,0.063,0.263,0.013,0.6,0.138,0.063,02M294,0.26,2.0,2.0,0.0449438,0.042,358.0,2.48,2.25,0.844,0.413,0.491620123386,0.613,0.673184335232,0.0,,70.0,395.0,0.789,411.0,1193.0,387.0,General Academic,0.88,0.003,0.863,0.973,0.0,0.117,10002.0,405.0
