DBN,female_percent,male_percent,poverty_percent,avg_home_value_sqft,district_admin_code,grade8_english,grade8_math,regents_algebra,regents_english,regents_history_global,regents_living_environ,sat_reading,sat_math,sat_writing,college_readiness_index,cuny_2yr,cuny_4yr,college_career_readiness_index,enrollment,graduation_rate,college_nys_private,college_nys_public,college_out_of_state,asian_percent,black_percent,ell_percent,hispanic_percent,self-contained_percent,disability_percent,white_percent,cte_percent,arts_percent,ap_exams_percent_scoring_3plus,act_percent_took_exam,sat_percent_took_exam,post-secondary_enroll_rate,student_attendance_rate,school_environment_survey,teacher_attendance,principal_year_exp,zip_code,dropouts_percent,major_crimes,violation_offenses,school_day_length,sat_score_overall,regents_score_overall,population_diversity,grade8_proficiency,all_crime,label
1501M292,0.376470595598,0.623529434204,0.866666674614,1321.16666667,1.0,2.18,2.06,64.0,66.0,53.0,55.0,406.0,410.0,381.0,0.389,0.131,0.066,0.333,255.0,0.639,0.0,0.049,0.016,0.132,0.244,0.127,0.566,0.015,0.298,0.039,0.0,0.0,0.014,0.0,0.597,0.262,0.766,0.77,0.971,3.0,10002.0,0.095890411,732.0,506.0,420.0,1197.0,238.0,0.414435954907,4.24,1238.0,0
1501M448,0.378289461136,0.621710538864,0.891447365284,1321.16666667,1.0,2.27,2.37,64.0,69.0,67.0,68.0,355.0,437.0,352.0,0.229,0.197,0.169,0.675,304.0,0.843,0.042,0.0,0.014,0.299,0.25,0.194,0.411,0.003,0.22,0.033,0.0,0.0,0.41,0.133,0.699,0.507,0.88,0.87,0.971,5.5,10002.0,0.097560976,732.0,506.0,420.0,1144.0,268.0,0.326465520476,4.64,1238.0,0
1501M450,0.469969958067,0.530030012131,0.735735714436,1324.5,1.0,2.66,2.63,65.0,75.0,64.0,67.0,428.0,454.0,445.0,0.58,0.111,0.144,0.386,666.0,0.864,0.189,0.156,0.1,0.094,0.221,0.018,0.579,0.0,0.234,0.083,0.0,0.0,0.057,0.216,0.852,0.722,0.938,0.92,0.961,13.8,10009.0,0.0340909,1331.0,584.0,420.0,1327.0,271.0,0.418852648793,5.29,1915.0,1
1501M509,0.567493140697,0.432506889105,0.845730006695,1321.16666667,1.0,2.28,2.09,61.0,69.0,63.0,64.0,413.0,438.0,394.0,0.119,0.1,0.083,0.208,363.0,0.475,0.017,0.067,0.017,0.058,0.399,0.091,0.512,0.146,0.284,0.025,0.0,0.0,0.02,0.04,0.356,0.3,0.768,0.81,0.971,1.9,10002.0,0.176470588,732.0,506.0,450.0,1245.0,257.0,0.430484314337,4.37,1238.0,0
1501M539,0.515273749828,0.484726220369,0.273198843002,1321.16666667,1.0,3.5,3.53,80.0,91.0,87.0,88.0,601.0,657.0,601.0,0.967,0.044,0.168,0.992,1735.0,0.975,0.248,0.159,0.195,0.385,0.133,0.002,0.18,0.0,0.043,0.286,0.0,0.0,0.811,0.262,0.91,0.823,0.952,0.85,0.967,9.0,10002.0,0.0081967,732.0,506.0,465.0,1859.0,346.0,0.289293327384,7.03,1238.0,1
1501M696,0.598165154457,0.401834875345,0.339449554682,1321.16666667,1.0,3.71,3.65,73.0,92.0,83.0,67.0,641.0,634.0,639.0,0.974,0.007,0.119,1.0,545.0,0.974,0.189,0.14,0.497,0.171,0.172,0.0,0.187,0.0,0.011,0.453,0.0,0.0,0.006,0.357,0.708,0.958,0.958,0.91,0.976,4.8,10002.0,0.012987,732.0,506.0,410.0,1914.0,315.0,0.309434341072,7.36,1238.0,1
1502M047,0.644970417023,0.355029582977,0.834319531918,1861.25,2.0,2.4,2.24,60.0,67.0,57.0,66.0,409.5,410.0,402.0,0.207,0.048,0.119,0.655,169.0,0.552,0.024,0.048,0.143,0.012,0.284,0.047,0.645,0.083,0.254,0.053,0.0,0.0,0.0,0.0,0.483,0.405,0.881,0.85,0.983,7.0,10010.0,0.0344828,2061.0,692.0,420.0,1221.5,250.0,0.505684003417,4.64,2753.0,0
1502M135,0.569948196411,0.430051803589,1.0,1319.33333333,2.0,2.34,2.22,62.0,85.0,71.0,75.0,409.5,410.0,402.0,0.221,0.164,0.122,0.365,193.0,0.738,0.058,0.075,0.029,0.057,0.285,0.073,0.622,0.01,0.197,0.026,0.0,0.0,0.045,0.04,0.632,0.514,0.883,0.88,0.972,2.0,10038.0,0.0752283935,2394.0,1104.0,410.0,1221.5,293.0,0.481618202224,4.56,3498.0,0
1502M139,0.259067356586,0.740932643414,0.84455960989,391.916666667,2.0,2.3,2.27,60.0,71.0,64.0,66.0,409.5,410.0,402.0,0.221,0.164,0.122,0.365,193.0,0.738,0.058,0.075,0.029,0.036,0.249,0.078,0.611,0.016,0.295,0.088,0.0,0.0,0.045,0.04,0.632,0.514,0.881,0.82,0.988,2.0,10019.0,0.0752283935,732.0,506.0,380.0,1221.5,261.0,0.4589302829,4.57,1238.0,0
1502M280,0.484536081553,0.515463888645,0.67010307312,1319.33333333,2.0,2.6,2.43,66.0,71.0,64.0,77.0,409.5,410.0,402.0,0.221,0.164,0.122,0.365,97.0,0.738,0.058,0.075,0.029,0.072,0.32,0.01,0.433,0.0,0.227,0.155,0.0,0.0,0.045,0.04,0.632,0.514,0.937,0.89,0.991,1.0,10038.0,0.0752283935,870.0,427.0,435.0,1221.5,278.0,0.332255310287,5.03,1297.0,0
1502M282,0.427184462547,0.572815537453,0.805825233459,1319.33333333,2.0,2.72,2.62,70.0,71.0,64.0,67.0,409.5,410.0,402.0,0.221,0.164,0.122,0.365,103.0,0.738,0.058,0.075,0.029,0.107,0.243,0.039,0.456,0.01,0.058,0.097,0.0,0.0,0.045,0.04,0.632,0.514,0.908,0.84,0.951,1.0,10038.0,0.0752283935,2394.0,1104.0,405.0,1221.5,272.0,0.353004443169,5.34,3498.0,0
1502M288,0.51990634203,0.480093687773,0.784543335438,391.916666667,2.0,2.47,2.36,63.0,72.0,66.0,65.0,435.0,428.0,421.0,0.143,0.167,0.108,0.429,427.0,0.806,0.088,0.167,0.039,0.047,0.396,0.03,0.522,0.0,0.157,0.03,0.133,0.0,0.061,0.0,0.52,0.588,0.885,0.81,0.959,11.0,10019.0,0.070707071,2394.0,1104.0,410.0,1284.0,266.0,0.436765738239,4.83,3498.0,0
